"Step","resnet50_6_seed=99 - initial_val_accuracy","resnet50_6_seed=99 - initial_val_accuracy__MIN","resnet50_6_seed=99 - initial_val_accuracy__MAX","resnet50_6_seed=99 - val_accuracy","resnet50_6_seed=99 - val_accuracy__MIN","resnet50_6_seed=99 - val_accuracy__MAX","resnet50_5_seed=99 - initial_val_accuracy","resnet50_5_seed=99 - initial_val_accuracy__MIN","resnet50_5_seed=99 - initial_val_accuracy__MAX","resnet50_5_seed=99 - val_accuracy","resnet50_5_seed=99 - val_accuracy__MIN","resnet50_5_seed=99 - val_accuracy__MAX","resnet50_4_seed=99 - initial_val_accuracy","resnet50_4_seed=99 - initial_val_accuracy__MIN","resnet50_4_seed=99 - initial_val_accuracy__MAX","resnet50_4_seed=99 - val_accuracy","resnet50_4_seed=99 - val_accuracy__MIN","resnet50_4_seed=99 - val_accuracy__MAX","resnet50_2_seed=99 - initial_val_accuracy","resnet50_2_seed=99 - initial_val_accuracy__MIN","resnet50_2_seed=99 - initial_val_accuracy__MAX","resnet50_2_seed=99 - val_accuracy","resnet50_2_seed=99 - val_accuracy__MIN","resnet50_2_seed=99 - val_accuracy__MAX","resnet50_3_seed=99 - initial_val_accuracy","resnet50_3_seed=99 - initial_val_accuracy__MIN","resnet50_3_seed=99 - initial_val_accuracy__MAX","resnet50_3_seed=99 - val_accuracy","resnet50_3_seed=99 - val_accuracy__MIN","resnet50_3_seed=99 - val_accuracy__MAX","resnet50_1_seed=99 - initial_val_accuracy","resnet50_1_seed=99 - initial_val_accuracy__MIN","resnet50_1_seed=99 - initial_val_accuracy__MAX","resnet50_1_seed=99 - val_accuracy","resnet50_1_seed=99 - val_accuracy__MIN","resnet50_1_seed=99 - val_accuracy__MAX"
"0","0.7505001425743103","0.7505001425743103","0.7505001425743103","","","","0.7175096273422241","0.7175096273422241","0.7175096273422241","","","","0.4433418810367584","0.4433418810367584","0.4433418810367584","","","","0.019766325131058693","0.019766325131058693","0.019766325131058693","","","","0.044194143265485764","0.044194143265485764","0.044194143265485764","","","","0.0026408450212329626","0.0026408450212329626","0.0026408450212329626","","",""
"1","","","","0.7521806955337524","0.7521806955337524","0.7521806955337524","","","","0.7485995292663574","0.7485995292663574","0.7485995292663574","","","","0.7363556623458862","0.7363556623458862","0.7363556623458862","","","","0.6839388608932495","0.6839388608932495","0.6839388608932495","","","","0.6998039484024048","0.6998039484024048","0.6998039484024048","","","","0.10325304418802261","0.10325304418802261","0.10325304418802261"
"2","","","","0.7521206736564636","0.7521206736564636","0.7521206736564636","","","","0.7484195232391357","0.7484195232391357","0.7484195232391357","","","","0.7383962869644165","0.7383962869644165","0.7383962869644165","","","","0.6946823000907898","0.6946823000907898","0.6946823000907898","","","","0.7063460350036621","0.7063460350036621","0.7063460350036621","","","","0.17235516011714935","0.17235516011714935","0.17235516011714935"
"3","","","","0.7515004873275757","0.7515004873275757","0.7515004873275757","","","","0.748259425163269","0.748259425163269","0.748259425163269","","","","0.7392365336418152","0.7392365336418152","0.7392365336418152","","","","0.6995238661766052","0.6995238661766052","0.6995238661766052","","","","0.7103472948074341","0.7103472948074341","0.7103472948074341","","","","0.22311139106750488","0.22311139106750488","0.22311139106750488"
"4","","","","0.7514804601669312","0.7514804601669312","0.7514804601669312","","","","0.7485795617103577","0.7485795617103577","0.7485795617103577","","","","0.7401568293571472","0.7401568293571472","0.7401568293571472","","","","0.7024247646331787","0.7024247646331787","0.7024247646331787","","","","0.7123079299926758","0.7123079299926758","0.7123079299926758","","","","0.26212388277053833","0.26212388277053833","0.26212388277053833"
"5","","","","0.7521606683731079","0.7521606683731079","0.7521606683731079","","","","0.74845951795578","0.74845951795578","0.74845951795578","","","","0.7407370209693909","0.7407370209693909","0.7407370209693909","","","","0.7046054601669312","0.7046054601669312","0.7046054601669312","","","","0.7141284942626953","0.7141284942626953","0.7141284942626953","","","","0.29273366928100586","0.29273366928100586","0.29273366928100586"
"6","","","","0.7515804767608643","0.7515804767608643","0.7515804767608643","","","","0.7486595511436462","0.7486595511436462","0.7486595511436462","","","","0.7409771084785461","0.7409771084785461","0.7409771084785461","","","","0.7065861225128174","0.7065861225128174","0.7065861225128174","","","","0.7155889868736267","0.7155889868736267","0.7155889868736267","","","","0.31664133071899414","0.31664133071899414","0.31664133071899414"
"7","","","","0.7517805695533752","0.7517805695533752","0.7517805695533752","","","","0.7489396333694458","0.7489396333694458","0.7489396333694458","","","","0.7410771250724792","0.7410771250724792","0.7410771250724792","","","","0.7081665992736816","0.7081665992736816","0.7081665992736816","","","","0.7164492607116699","0.7164492607116699","0.7164492607116699","","","","0.33734795451164246","0.33734795451164246","0.33734795451164246"
