"Step","vgg16_5_seed=99 - initial_val_accuracy","vgg16_5_seed=99 - initial_val_accuracy__MIN","vgg16_5_seed=99 - initial_val_accuracy__MAX","vgg16_5_seed=99 - val_accuracy","vgg16_5_seed=99 - val_accuracy__MIN","vgg16_5_seed=99 - val_accuracy__MAX","vgg16_4_seed=99 - initial_val_accuracy","vgg16_4_seed=99 - initial_val_accuracy__MIN","vgg16_4_seed=99 - initial_val_accuracy__MAX","vgg16_4_seed=99 - val_accuracy","vgg16_4_seed=99 - val_accuracy__MIN","vgg16_4_seed=99 - val_accuracy__MAX","vgg16_3_seed=99 - initial_val_accuracy","vgg16_3_seed=99 - initial_val_accuracy__MIN","vgg16_3_seed=99 - initial_val_accuracy__MAX","vgg16_3_seed=99 - val_accuracy","vgg16_3_seed=99 - val_accuracy__MIN","vgg16_3_seed=99 - val_accuracy__MAX","vgg16_1_seed=99_continue - initial_val_accuracy","vgg16_1_seed=99_continue - initial_val_accuracy__MIN","vgg16_1_seed=99_continue - initial_val_accuracy__MAX","vgg16_1_seed=99_continue - val_accuracy","vgg16_1_seed=99_continue - val_accuracy__MIN","vgg16_1_seed=99_continue - val_accuracy__MAX","vgg16_1_seed=99 - initial_val_accuracy","vgg16_1_seed=99 - initial_val_accuracy__MIN","vgg16_1_seed=99 - initial_val_accuracy__MAX","vgg16_1_seed=99 - val_accuracy","vgg16_1_seed=99 - val_accuracy__MIN","vgg16_1_seed=99 - val_accuracy__MAX","vgg16_6_seed=99 - initial_val_accuracy","vgg16_6_seed=99 - initial_val_accuracy__MIN","vgg16_6_seed=99 - initial_val_accuracy__MAX","vgg16_6_seed=99 - val_accuracy","vgg16_6_seed=99 - val_accuracy__MIN","vgg16_6_seed=99 - val_accuracy__MAX","vgg16_2_seed=99 - initial_val_accuracy","vgg16_2_seed=99 - initial_val_accuracy__MIN","vgg16_2_seed=99 - initial_val_accuracy__MAX","vgg16_2_seed=99 - val_accuracy","vgg16_2_seed=99 - val_accuracy__MIN","vgg16_2_seed=99 - val_accuracy__MAX"
"0","0.701384425163269","0.701384425163269","0.701384425163269","","","","0.4916173219680786","0.4916173219680786","0.4916173219680786","","","","0.16733354330062866","0.16733354330062866","0.16733354330062866","","","","0.037491995841264725","0.037491995841264725","0.037491995841264725","","","","0.001080345711670816","0.001080345711670816","0.001080345711670816","","","","0.7082666158676147","0.7082666158676147","0.7082666158676147","","","","0.1021926999092102","0.1021926999092102","0.1021926999092102","","",""
"1","","","","0.7075664401054382","0.7075664401054382","0.7075664401054382","","","","0.6973231434822083","0.6973231434822083","0.6973231434822083","","","","0.6389644742012024","0.6389644742012024","0.6389644742012024","","","","0.04025287926197052","0.04025287926197052","0.04025287926197052","","","","0.005441741552203894","0.005441741552203894","0.005441741552203894","","","","0.7092069387435913","0.7092069387435913","0.7092069387435913","","","","0.6228193044662476","0.6228193044662476","0.6228193044662476"
"2","","","","0.7075464129447937","0.7075464129447937","0.7075464129447937","","","","0.6987236142158508","0.6987236142158508","0.6987236142158508","","","","0.6478673219680786","0.6478673219680786","0.6478673219680786","","","","0.04243357852101326","0.04243357852101326","0.04243357852101326","","","","0.009743117727339268","0.009743117727339268","0.009743117727339268","","","","0.7096670866012573","0.7096670866012573","0.7096670866012573","","","","0.6351632475852966","0.6351632475852966","0.6351632475852966"
"3","","","","0.7078465223312378","0.7078465223312378","0.7078465223312378","","","","0.6993237733840942","0.6993237733840942","0.6993237733840942","","","","0.6536691784858704","0.6536691784858704","0.6536691784858704","","","","","","","","","","0.01880601793527603","0.01880601793527603","0.01880601793527603","","","","0.7096070647239685","0.7096070647239685","0.7096070647239685","","","","0.6410050988197327","0.6410050988197327","0.6410050988197327"
"4","","","","0.7084667086601257","0.7084667086601257","0.7084667086601257","","","","0.7003641128540039","0.7003641128540039","0.7003641128540039","","","","0.6573703289031982","0.6573703289031982","0.6573703289031982","","","","","","","","","","0.026208385825157166","0.026208385825157166","0.026208385825157166","","","","0.7099671959877014","0.7099671959877014","0.7099671959877014","","","","0.6461067795753479","0.6461067795753479","0.6461067795753479"
"5","","","","0.7078465223312378","0.7078465223312378","0.7078465223312378","","","","0.7004041075706482","0.7004041075706482","0.7004041075706482","","","","0.6585707664489746","0.6585707664489746","0.6585707664489746","","","","","","","","","","0.030329706147313118","0.030329706147313118","0.030329706147313118","","","","0.7097471356391907","0.7097471356391907","0.7097471356391907","","","","0.6477072834968567","0.6477072834968567","0.6477072834968567"
"6","","","","0.7079265117645264","0.7079265117645264","0.7079265117645264","","","","0.7016645073890686","0.7016645073890686","0.7016645073890686","","","","0.6607714295387268","0.6607714295387268","0.6607714295387268","","","","","","","","","","0.037491995841264725","0.037491995841264725","0.037491995841264725","","","","0.7099071741104126","0.7099071741104126","0.7099071741104126","","","","0.6514484882354736","0.6514484882354736","0.6514484882354736"
"7","","","","0.7084867358207703","0.7084867358207703","0.7084867358207703","","","","0.7011443376541138","0.7011443376541138","0.7011443376541138","","","","0.6622319221496582","0.6622319221496582","0.6622319221496582","","","","","","","","","","","","","","","","0.7098671793937683","0.7098671793937683","0.7098671793937683","","","","0.6527689099311829","0.6527689099311829","0.6527689099311829"
"8","","","","0.7079865336418152","0.7079865336418152","0.7079865336418152","","","","0.7012643814086914","0.7012643814086914","0.7012643814086914","","","","0.6631321907043457","0.6631321907043457","0.6631321907043457","","","","","","","","","","","","","","","","0.7102272510528564","0.7102272510528564","0.7102272510528564","","","","0.6544494032859802","0.6544494032859802","0.6544494032859802"
